Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient 
Query 1, 4, 40.0, -3.5 
Query 2, 5, 50.0, -0.44999999999999996 
Query 3, 3, 30.0, -5.5 
Query 4, 6, 60.0, -3.4571428571428573 
Query 5, 0, 0, 0 
Query 6, 0, 0, 0 
Query 7, 5, 50.0, 0.55 
Query 8, 7, 70.0, 0.3035714285714286 
Query 9, 2, 20.0, -63.0 
Query 10, 0, 0, 0 
Query 11, 5, 50.0, 0.050000000000000044 
Query 12, 0, 0, 0 
Query 13, 0, 0, 0 
Query 14, 0, 0, 0 
Query 15, 7, 70.0, 0.2142857142857143 
Query 16, 4, 40.0, 0.09999999999999998 
Query 17, 0, 0, 0 
Query 18, 0, 0, 0 
Query 19, 5, 50.0, -0.050000000000000044 
Query 20, 1, 10, 0 
Query 21, 5, 50.0, -0.3500000000000001 
Query 22, 0, 0, 0 
Query 23, 8, 80.0, 0.7023809523809523 
Query 24, 1, 10, 0 
Query 25, 1, 10, 1 
Query 26, 1, 10, 0 
Query 27, 4, 40.0, -0.30000000000000004 
Query 28, 0, 0, 0 
Query 29, 7, 70.0, -0.1607142857142858 
Query 30, 4, 40.0, -1.2000000000000002 
Query 31, 3, 30.0, -3.5 
Query 32, 0, 0, 0 
Query 33, 1, 10, 1 
Query 34, 0, 0, 0 
Query 35, 0, 0, 0 
Query 36, 5, 50.0, 0.6 
Query 37, 2, 20.0, -24.0 
Query 38, 0, 0, 0 
Query 39, 0, 0, 0 
Query 40, 0, 0, 0 
Query 41, 7, 70.0, 0.5892857142857143 
Query 42, 2, 20.0, -12.0 
Query 43, 0, 0, 0 
Query 44, 4, 40.0, -4.1 
Query 45, 0, 0, 0 
Query 46, 6, 60.0, 0.4285714285714286 
Query 47, 2, 20.0, 0.0 
Query 48, 3, 30.0, -16.25 
Query 49, 2, 20.0, 0.0 
Query 50, 0, 0, 0 
Query 51, 3, 30.0, 0.0 
Query 52, 2, 20.0, -7.0 
Query 53, 0, 0, 0 
Query 54, 8, 80.0, -0.08333333333333326 
Query 55, 5, 50.0, -1.4500000000000002 
Query 56, 6, 60.0, -0.6285714285714286 
Query 57, 5, 50.0, -1.35 
Query 58, 0, 0, 0 
Query 59, 3, 30.0, 0.5 
Query 60, 5, 50.0, -0.10000000000000009 
Query 61, 2, 20.0, 1.0 
Query 62, 0, 0, 0 
Query 63, 6, 60.0, 0.9714285714285714 
Query 64, 0, 0, 0 
Query 65, 4, 40.0, -1.9 
Query 66, 5, 50.0, -1.65 
Query 67, 0, 0, 0 
Query 68, 5, 50.0, 0.8 
Query 69, 0, 0, 0 
Query 70, 0, 0, 0 
Query 71, 0, 0, 0 
Query 72, 3, 30.0, -19.75 
Query 73, 5, 50.0, -1.9500000000000002 
Query 74, 6, 60.0, 0.37142857142857144 
Query 75, 4, 40.0, -1.2000000000000002 
Query 76, 4, 40.0, -0.10000000000000009 
Query 77, 0, 0, 0 
Query 78, 0, 0, 0 
Query 79, 7, 70.0, 0.6607142857142857 
Query 80, 6, 60.0, -0.34285714285714275 
Query 81, 1, 10, 0 
Query 82, 6, 60.0, -0.1428571428571428 
Query 83, 0, 0, 0 
Query 84, 1, 10, 0 
Query 85, 2, 20.0, -88.0 
Query 86, 5, 50.0, -0.44999999999999996 
Query 87, 0, 0, 0 
Query 88, 4, 40.0, -4.8 
Query 89, 4, 40.0, -2.2 
Query 90, 1, 10, 1 
Query 91, 6, 60.0, -1.4 
Query 92, 0, 0, 0 
Query 93, 7, 70.0, 0.625 
Query 94, 3, 30.0, -19.0 
Query 95, 0, 0, 0 
Query 96, 0, 0, 0 
Query 97, 0, 0, 0 
Query 98, 1, 10, 0 
Query 99, 6, 60.0, -0.5714285714285714 
Query 100, 6, 60.0, -0.4571428571428571 
Averages, 2.69, 26.9, -2.8087738095238093